"ICTVnames" "accessionIDs"
"Garlic mite-borne filamentous virus" "NC_038864"
"Senna severe yellow mosaic virus" "MN031278"
"Vanilla latent virus" "NC_035204"
"Botrytis virus X" "NC_005132"
"Lolium latent virus" "NC_010434"
"Donkey orchid symptomless virus" "NC_022894"
"Citrus yellow mottle-associated virus" "MK957246"
"Citrus yellow vein clearing virus" "NC_026592"
"Indian citrus ringspot virus" "NC_003093"
"Allium virus X" "NC_012211"
"Alstroemeria virus X" "NC_007408"
"Alternanthera mosaic virus" "NC_007731"
"Ambrosia asymptomatic virus 1" "KF421905"
"Asparagus virus 3" "NC_010416"
"Babaco mosaic virus" "NC_036587"
"Bamboo mosaic virus" "NC_001642"
"Cactus virus X" "NC_002815"
"Cassava Colombian symptomless virus" "KC505252"
"Cassava common mosaic virus" "NC_001658"
"Cassava virus X" "NC_034375"
"Clover yellow mosaic virus" "NC_001753"
"Cnidium virus X" "LC460456"
"Cymbidium mosaic virus" "NC_001812"
"Euonymus yellow mottle associated virus" "MK572000"
"Euonymus yellow vein virus" "NC_035190"
"Foxtail mosaic virus" "NC_001483"
"Hosta virus X" "NC_011544"
"Hydrangea ringspot virus" "NC_006943"
"Lagenaria mild mosaic virus" "NC_043079"
"Lettuce virus X" "NC_010832"
"Lily virus X" "NC_007192"
"Malva mosaic virus" "NC_008251"
"Mint virus X" "NC_006948"
"Narcissus mosaic virus" "NC_001441"
"Nerine virus X" "NC_007679"
"Opuntia virus X" "NC_006060"
"Papaya mosaic virus" "NC_001748"
"Pepino mosaic virus" "NC_004067"
"Phaius virus X" "NC_010295"
"Pitaya virus X" "NC_024458"
"Plantago asiatica mosaic virus" "NC_003849"
"Plantain virus X" "NC_028649"
"Potato aucuba mosaic virus" "NC_003632"
"Potato virus X" "NC_011620"
"Schlumbergera virus X" "NC_011659"
"Senna mosaic virus" "NC_030746"
"Strawberry mild yellow edge virus" "NC_003794"
"Tamus red mosaic virus" "NC_016003"
"Tulip virus X" "NC_004322"
"Turtle grass virus X" "NC_040644"
"Vanilla virus X" "NC_035205"
"White clover mosaic virus" "NC_003820"
"Yam virus X" "NC_025252"
"Zygocactus virus X" "NC_006059"
"Sclerotinia sclerotiorum debilitation-associated RNA virus" "NC_007415"
"Aconitum latent virus" "NC_002795"
"American hop latent virus" "NC_017859"
"Atractylodes mottle virus" "NC_038966"
"Blueberry scorch virus" "NC_003499"
"Butterbur mosaic virus" "NC_013527"
"Caper latent virus" "NC_043080"
"Carnation latent virus" "NC_038865"
"Chrysanthemum virus B" "NC_009087"
"Cole latent virus" "NC_038322"
"Coleus vein necrosis virus" "NC_009764"
"Cowpea mild mottle virus" "NC_014730"
"Cucumber vein-clearing virus" "NC_043081"
"Daphne virus S" "NC_008020"
"Gaillardia latent virus" "NC_023892"
"Garlic common latent virus" "NC_016440"
"Helenium virus S" "NC_038323"
"Helleborus mosaic virus" "NC_043082"
"Helleborus net necrosis virus" "NC_012038"
"Hippeastrum latent virus" "NC_011540"
"Hop latent virus" "NC_002552"
"Hop mosaic virus" "NC_010538"
"Hydrangea chlorotic mottle virus" "NC_012869"
"Kalanchoe latent virus" "NC_013006"
"Ligustrum necrotic ringspot virus" "NC_010305"
"Ligustrum virus A" "NC_031089"
"Lily symptomless virus" "NC_005138"
"Melon yellowing-associated virus" "NC_038324"
"Mirabilis jalapa mottle virus" "NC_016080"
"Narcissus common latent virus" "NC_008266"
"Nerine latent virus" "NC_008552"
"Passiflora latent virus" "NC_008292"
"Pea streak virus" "NC_026616"
"Phlox virus B" "NC_009991"
"Phlox virus M" "NC_043083"
"Phlox virus S" "NC_009383"
"Poplar mosaic virus" "NC_005343"
"Potato latent virus" "NC_011525"
"Potato virus H" "NC_018175"
"Potato virus M" "NC_001361"
"Potato virus P" "NC_009759"
"Potato virus S" "NC_007289"
"Red clover vein mosaic virus" "NC_012210"
"Sambucus virus C" "NC_029087"
"Sambucus virus D" "NC_029088"
"Sambucus virus E" "NC_029089"
"Shallot latent virus" "NC_003557"
"Sint-Jan onion latent virus" "NC_043084"
"Sweet potato C6 virus" "NC_018448"
"Sweet potato chlorotic fleck virus" "NC_006550"
"Verbena latent virus" "NC_043085"
"Yam latent virus" "NC_026248"
"Apple stem pitting virus" "NC_003462"
"Apricot latent virus" "NC_014821"
"Asian prunus virus 1" "NC_025388"
"Asian prunus virus 2" "NC_028868"
"Grapevine rupestris stem pitting-associated virus" "NC_001948"
"Peach chlorotic mottle virus" "NC_009892"
"Rubus canadensis virus 1" "NC_019025"
"African oil palm ringspot virus" "NC_012519"
"Cherry green ring mottle virus" "NC_001946"
"Cherry necrotic rusty mottle virus" "NC_002468"
"Cherry rusty mottle associated virus" "NC_020996"
"Cherry twisted leaf associated virus" "NC_024449"
"Banana mild mosaic virus" "NC_002729"
"Banana virus X" "NC_043086"
"Sugarcane striate mosaic-associated virus" "NC_003870"
"Apple stem grooving virus" "NC_001749"
"Cherry virus A" "NC_003689"
"Currant virus A" "NC_029301"
"Mume virus A" "NC_040568"
"Carrot Ch virus 1" "NC_025469"
"Carrot Ch virus 2" "NC_025468"
"Citrus leaf blotch virus" "NC_003877"
"Diuris virus A" "NC_019029"
"Diuris virus B" "NC_019030"
"Hardenbergia virus A" "NC_015395"
"Actinidia seed borne latent virus" "NC_040800"
"Apricot vein clearing associated virus" "NC_023295"
"Caucasus prunus virus" "NC_038325"
"Ribes americanum virus A" "NC_040797"
"Potato virus T" "NC_011062"
"Prunus virus T" "NC_024686"
"Apple chlorotic leaf spot virus" "NC_001409"
"Apricot pseudo-chlorotic leaf spot virus" "NC_006946"
"Cherry mottle leaf virus" "NC_002500"
"Grapevine berry inner necrosis virus" "NC_015220"
"Grapevine Pinot gris virus" "NC_015782"
"Peach mosaic virus" "NC_011552"
"Phlomis mottle virus" "NC_043412"
"Actinidia virus A" "NC_043087"
"Actinidia virus B" "NC_016404"
"Arracacha virus V" "NC_034264"
"Blackberry virus A" "NC_040630"
"Grapevine virus A" "NC_003604"
"Grapevine virus B" "NC_003602"
"Grapevine virus D" "NC_038326"
"Grapevine virus E" "NC_011106"
"Grapevine virus F" "NC_018458"
"Grapevine virus G" "NC_040616"
"Grapevine virus H" "NC_040545"
"Grapevine virus I" "NC_037058"
"Grapevine virus J" "NC_040564"
"Heracleum latent virus" "NC_039087"
"Mint virus 2" "NC_043088"
"Watermelon virus A" "NC_034377"
"Fusarium deltaflexivirus 1" "NC_030654"
"Sclerotinia deltaflexivirus 1" "NC_038977"
"Soybean-associated deltaflexivirus 1" "NC_038979"
"Botrytis virus F" "NC_002604"
"Grapevine fleck virus" "NC_003347"
"Alfalfa virus F" "NC_040565"
"Bermuda grass etched-line virus" "NC_038327"
"Blackberry virus S" "NC_038328"
"Citrus sudden death-associated virus" "NC_006950"
"Grapevine asteroid mosaic associated virus" "NC_031692"
"Grapevine Syrah virus 1" "NC_012484"
"Maize rayado fino virus" "NC_002786"
"Oat blue dwarf virus" "NC_001793"
"Olive latent virus 3" "NC_013920"
"Peach marafivirus D" "NC_033828"
"Anagyris vein yellowing virus" "NC_011559"
"Andean potato latent virus" "NC_020470"
"Andean potato mild mosaic virus" "NC_020471"
"Belladonna mottle virus" "NC_038866"
"Cacao yellow mosaic virus" "NC_038867"
"Chayote mosaic virus" "NC_002588"
"Chiltepin yellow mosaic virus" "NC_014127"
"Clitoria yellow vein virus" "NC_038329"
"Desmodium yellow mottle virus" "NC_038330"
"Dulcamara mottle virus" "NC_007609"
"Eggplant mosaic virus" "NC_001480"
"Erysimum latent virus" "NC_001977"
"Kennedya yellow mosaic virus" "NC_001746"
"Nemesia ring necrosis virus" "NC_011538"
"Okra mosaic virus" "NC_009532"
"Ononis yellow mosaic virus" "NC_001513"
"Passion fruit yellow mosaic virus" "NC_043089"
"Petunia vein banding virus" "NC_043090"
"Physalis mottle virus" "NC_003634"
"Plantago mottle virus" "NC_011539"
"Scrophularia mottle virus" "NC_011537"
"Tomato blistering mosaic tymovirus" "NC_021851"
"Turnip yellow mosaic virus" "NC_004063"
"Wild cucumber mosaic virus" "NC_043091"
"Bombyx mori latent virus" "NC_038331"
"Poinsettia mosaic virus" "NC_002164"
"Apoi virus" "NC_003676"
"Aroa virus" "NC_009026"
"Bagaza virus" "NC_012534"
"Banzi virus" "NC_043110"
"Bouboui virus" "NC_033693"
"Bukalasa bat virus" "NC_043111"
"Cacipacore virus" "NC_026623"
"Carey Island virus" "NC_043112"
"Cowbone Ridge virus" "NC_043113"
"Dakar bat virus" "NC_043114"
"Dengue virus" "NC_001474"
"Edge Hill virus" "NC_030289"
"Entebbe bat virus" "NC_008718"
"Gadgets Gully virus" "NC_033723"
"Ilheus virus" "NC_009028"
"Israel turkey meningoencephalomyelitis virus" "NC_043115"
"Japanese encephalitis virus" "NC_001437"
"Jugra virus" "NC_033699"
"Jutiapa virus" "NC_026620"
"Kadam virus" "NC_033724"
"Kedougou virus" "NC_012533"
"Kokobera virus" "NC_009029"
"Koutango virus" "NC_043116"
"Kyasanur Forest disease virus" "NC_039218"
"Langat virus" "NC_003690"
"Louping ill virus" "NC_001809"
"Meaban virus" "NC_033721"
"Modoc virus" "NC_003635"
"Montana myotis leukoencephalitis virus" "NC_004119"
"Murray Valley encephalitis virus" "NC_000943"
"Ntaya virus" "NC_018705"
"Omsk hemorrhagic fever virus" "NC_005062"
"Phnom Penh bat virus" "AF013394"
"Powassan virus" "NC_003687"
"Rio Bravo virus" "NC_003675"
"Royal Farm virus" "NC_039219"
"Saboya virus" "NC_033697"
"Saint Louis encephalitis virus" "NC_007580"
"Sal Vieja virus" "NC_043117"
"San Perlita virus" "NC_043118"
"Saumarez Reef virus" "NC_033726"
"Sepik virus" "NC_008719"
"Tembusu virus" "NC_015843"
"Tick-borne encephalitis virus" "NC_001672"
"Tyuleniy virus" "NC_023424"
"Uganda S virus" "NC_033698"
"Usutu virus" "NC_006551"
"Wesselsbron virus" "NC_012735"
"West Nile virus" "NC_001563"
"Yaounde virus" "AF013413"
"Yellow fever virus" "NC_002031"
"Yokose virus" "NC_005039"
"Zika virus" "NC_012532"
"Hepacivirus A" "NC_038425"
"Hepacivirus B" "NC_038426"
"Hepacivirus C" "NC_004102"
"Hepacivirus D" "KC551800"
"Hepacivirus E" "NC_021153"
"Hepacivirus F" "NC_038427"
"Hepacivirus G" "NC_025672"
"Hepacivirus H" "NC_025673"
"Hepacivirus I" "NC_038428"
"Hepacivirus J" "NC_038429"
"Hepacivirus K" "NC_038430"
"Hepacivirus L" "NC_031916"
"Hepacivirus M" "NC_038431"
"Hepacivirus N" "NC_038432"
"Pegivirus A" "U22303"
"Pegivirus B" "NC_030291"
"Pegivirus C" "NC_001710"
"Pegivirus D" "NC_038433"
"Pegivirus E" "NC_020902"
"Pegivirus F" "NC_038434"
"Pegivirus G" "NC_038435"
"Pegivirus H" "NC_038436"
"Pegivirus I" "NC_038437"
"Pegivirus J" "NC_021154"
"Pegivirus K" "NC_034442"
"Pestivirus A" "M96751"
"Pestivirus B" "FJ527854"
"Pestivirus C" "NC_038912"
"Pestivirus D" "NC_003679"
"Pestivirus E" "NC_024018"
"Pestivirus F" "NC_023176"
"Pestivirus G" "NC_003678"
"Pestivirus H" "NC_012812"
"Pestivirus I" "NC_018713"
"Pestivirus J" "NC_025677"
"Pestivirus K" "NC_038964"
"Black beetle virus" "RNA1: NC_001411; RNA2: NC_002037"
"Boolarra virus" "RNA1: NC_004142; RNA2: NC_004145"
"Flock House virus" "RNA1: NC_004146; RNA2: NC_004144"
"Nodamura virus" "RNA1: NC_002690; RNA2: NC_002691"
"Pariacoto virus" "RNA1: NC_003691; RNA2: NC_003692"
"Barfin flounder nervous necrosis virus" "RNA1: NC_011063; RNA2: NC_011064"
"Redspotted grouper nervous necrosis virus" "RNA1: NC_008040; RNA2: NC_008041"
"Striped jack nervous necrosis virus" "RNA1: NC_003448; RNA2: NC_003449"
"Tiger puffer nervous necrosis virus" "RNA1: NC_013460; RNA2: NC_013461"
"Lake Sinai virus 1" "HQ871931"
"Lake Sinai virus 2" "HQ888865"
"Providence virus" "NC_014126"
"Carrot mottle mimic virus" "NC_001726"
"Carrot mottle virus" "NC_011515"
"Ethiopian tobacco bushy top virus" "NC_024808"
"Groundnut rosette virus" "NC_003603"
"Ixeridium yellow mottle virus 2" "NC_034243"
"Opium poppy mosaic virus" "NC_027710"
"Patrinia mild mottle virus" "MH922775"
"Pea enation mosaic virus 2" "NC_003853"
"Tobacco bushy top virus" "NC_004366"
"Tobacco mottle virus" "NC_043206"
"Adonis mosaic virus" "LC171345"
"Angelonia flower break virus" "NC_007733"
"Calibrachoa mottle virus" "NC_021926"
"Carnation mottle virus" "NC_001265"
"Honeysuckle ringspot virus" "NC_014967"
"Nootka lupine vein clearing virus" "NC_009017"
"Pelargonium flower break virus" "NC_005286"
"Saguaro cactus virus" "NC_001780"
"Olive latent virus 1" "NC_001721"
"Olive mild mosaic virus" "NC_006939"
"Potato necrosis virus" "NC_029900"
"Tobacco necrosis virus A" "NC_001777"
"Cucumber leaf spot virus" "NC_007816"
"Elderberry aureusvirus 1" "MG967280"
"Johnsongrass chlorotic stripe mosaic virus" "NC_005287"
"Maize white line mosaic virus" "NC_009533"
"Pothos latent virus" "NC_000939"
"Yam spherical virus" "NC_022895"
"Oat chlorotic stunt virus" "NC_003633"
"Cardamine chlorotic fleck virus" "NC_001600"
"Hibiscus chlorotic ringspot virus" "NC_003608"
"Japanese iris necrotic ring virus" "NC_002187"
"Turnip crinkle virus" "NC_003821"
"Beet black scorch virus" "NC_004452"
"Leek white stripe virus" "NC_001822"
"Tobacco necrosis virus D" "NC_003487"
"Galinsoga mosaic virus" "NC_001818"
"Cowpea mottle virus" "NC_003535"
"Melon necrotic spot virus" "NC_001504"
"Pea stem necrosis virus" "NC_004995"
"Soybean yellow mottle mosaic virus" "NC_011643"
"Furcraea necrotic streak virus" "NC_020469"
"Maize chlorotic mottle virus" "NC_003627"
"Cocksfoot mild mosaic virus" "NC_011108"
"Panicum mosaic virus" "NC_002598"
"Thin paspalum asymptomatic virus" "NC_021705"
"Clematis chlorotic mottle virus" "NC_033777"
"Elderberry latent virus" "NC_026239"
"Jasmine mosaic-associated virus" "MG958506"
"Jasmine virus H" "KX897157"
"Pelargonium chlorotic ring pattern virus" "NC_005985"
"Pelargonium line pattern virus" "NC_007017"
"Pelargonium ringspot virus" "NC_026240"
"Rosa rugosa leaf distortion virus" "NC_020415"
"Artichoke mottled crinkle virus" "NC_001339"
"Carnation Italian ringspot virus" "NC_003500"
"Cucumber Bulgarian latent virus" "NC_004725"
"Cucumber necrosis virus" "NC_001469"
"Cymbidium ringspot virus" "NC_003532"
"Eggplant mottled crinkle virus" "NC_023339"
"Grapevine Algerian latent virus" "NC_011535"
"Havel River virus" "NC_038690"
"Limonium flower distortion virus" "NC_038691"
"Moroccan pepper virus" "NC_020073"
"Neckar River virus" "NC_038927"
"Pelargonium leaf curl virus" "NC_030452"
"Pelargonium necrotic spot virus" "NC_005285"
"Petunia asteroid mosaic virus" "NC_038692"
"Sikte waterborne virus" "NC_038693"
"Tomato bushy stunt virus" "NC_001554"
"Maize necrotic streak virus" "NC_007729"
"Trailing lespedeza virus 1" "NC_015227"
"Carnation ringspot virus" "RNA1: NC_003530; RNA2: NC_003531"
"Red clover necrotic mosaic virus" "RNA1: NC_003756; RNA2: NC_003775"
"Sweet clover necrotic mosaic virus" "RNA1: NC_003806; RNA2: NC_003807"
"Apple associated luteovirus" "NC_040549"
"Apple luteovirus 1" "NC_040680"
"Barley yellow dwarf virus kerII" "NC_021481"
"Barley yellow dwarf virus kerIII" "NC_043123"
"Barley yellow dwarf virus MAV" "NC_003680"
"Barley yellow dwarf virus PAS" "NC_002160"
"Barley yellow dwarf virus PAV" "NC_004750"
"Bean leafroll virus" "NC_003369"
"Cherry associated luteovirus" "NC_031800"
"Nectarine stem pitting associated virus" "KT273409"
"Red clover associated luteovirus" "MG597244"
"Rose spring dwarf-associated virus" "NC_010806"
"Soybean dwarf virus" "NC_003056"
"Saccharomyces 20S RNA narnavirus" "NC_004051"
"Saccharomyces 23S RNA narnavirus" "NC_004050"
"Cryphonectria mitovirus 1" "NC_004046"
"Ophiostoma mitovirus 4" "NC_004052"
"Ophiostoma mitovirus 5" "NC_004053"
"Ophiostoma mitovirus 6" "NC_004054"
"Ophiostoma mitovirus 3a" "NC_004049"
"Andhevirus chorohabitans" "BK013421"
"Apihcavirus arvenecus" "BK013498"
"Apihcavirus borborovicinum" "BK014192"
"Arihsbuvirus caenadaptatum" "BK013713"
"Bahdevuvirus caenivivens" "BK013631"
"Bahdevuvirus limadaptatum" "BK014098"
"Bilifuvirus defluviicola" "BK013375"
"Blinduvirus asiadaptatum" "BK014110"
"Blinduvirus terrihabitans" "BK013562"
"Cahtebovirus humivicinum" "BK013539"
"Chinihovirus lutihabitans" "BK013727"
"Chounavirus chorenecus" "BK013545"
"Cihsnivirus pelenecus" "BK014136"
"Diydovirus borborovicinum" "BK014140"
"Dugnivirus chthonadaptatum" "BK013522"
"Dugnivirus solivicinum" "BK013780"
"Dugnivirus solivivens" "BK013469"
"Firunevirus limicola" "BK013653"
"Gohshovirus asiadaptatum" "BK013760"
"Hehspivirus edaphadaptatum" "BK013448"
"Helacdivirus borborovicinum" "BK013574"
"Hirvovirus caenivicinum" "BK013728"
"Huhmpluvirus limenecus" "BK014112"
"Huleruivirus geocola" "BK013524"
"Hysdruvirus geovivens" "BK013392"
"Hysdruvirus telluradaptatum" "BK013934"
"Hysdruvirus tellurenecus" "BK013875"
"Hysdruvirus telluricola" "BK013502"
"Hysdruvirus tellurihabitans" "BK013888"
"Hysdruvirus tellurivicinum" "BK013981"
"Ichonovirus limivicinum" "BK013768"
"Ipivevirus pelenecus" "BK013684"
"Isoihlovirus terrihabitans" "BK013420"
"Kempsvovirus caenivivens" "BK014081"
"Kihrivirus limicola" "BK013609"
"Kimihcavirus limivivens" "BK014211"
"Kudohovirus pelocola" "BK013755"
"Kuhfotivirus pelohabitans" "BK014129"
"Lahcomavirus asienecus" "BK014123"
"Lehptevirus asiohabitans" "BK013630"
"Lehptevirus asiovicinum" "BK013664"
"Lehptevirus asiovivens" "BK013695"
"Lehptevirus borboradaptatum" "BK014206"
"Lehptevirus chorohabitans" "BK013885"
"Lobdovirus arvadaptatum" "BK013785"
"Lobdovirus arvenecus" "BK013414"
"Lobdovirus arvicola" "BK013915"
"Lobdovirus chorovicinum" "BK013855"
"Lobdovirus chorovivens" "BK013840"
"Madisduvirus caenivivens" "BK013711"
"Mitdiwavirus asiocola" "BK014171"
"Moloevirus chthonenecus" "BK013880"
"Monekavirus asiovivens" "BK014072"
"Nehujevirus caenicola" "BK013726"
"Neratovirus caenihabitans" "BK013765"
"Niginuvirus limadaptatum" "BK014212"
"Pagohnivirus humenecus" "BK013975"
"Pihngevirus agrivivens" "BK013902"
"Pihngevirus choradaptatum" "BK014039"
"Pihngevirus chorocola" "BK013948"
"Pohlydovirus arvivicinum" "BK013935"
"Pohlydovirus arvivivens" "BK014011"
"Psoetuvirus pedenecus" "BK013770"
"Qeihnovirus defluviicola" "BK013373"
"Qeihnovirus luticola" "BK013629"
"Qeihnovirus lutihabitans" "BK014151"
"Qeihnovirus lutivicinum" "BK014203"
"Qeihnovirus lutivivens" "BK013764"
"Qeihnovirus peladaptatum" "BK014214"
"Rainacovirus pelenecus" "BK014093"
"Rainacovirus pelocola" "BK013661"
"Rainacovirus pelohabitans" "BK014156"
"Rainacovirus pelovicinum" "BK014185"
"Rainacovirus tellurivicinum" "BK014002"
"Rainacovirus tellurivivens" "BK013564"
"Rainacovirus terradaptatum" "BK013514"
"Rainacovirus terricola" "BK013526"
"Scloravirus humicola" "BK013456"
"Sdonativirus humihabitans" "BK013781"
"Sdribtuvirus humivicinum" "BK014017"
"Shopitevirus limenecus" "BK013607"
"Stupavirus arvadaptatum" "BK013967"
"Stupavirus chorovivens" "BK013416"
"Tsecebavirus borborovicinum" "BK013761"
"Wahbolevirus lutadaptatum" "BK014094"
"Wecineivirus lutihabitans" "BK014209"
"Whodehavirus pelovicinum" "BK014149"
"Wulosvivirus asiocola" "BK014104"
"Yekorevirus terrivivens" "BK013403"
"Yeshinuvirus humadaptatum" "BK013492"
"Yeshinuvirus humicola" "BK013949"
"Apeevirus quebecense" "NC_002700"
"Beshanovirus aquicola" "BK014219"
"Kahshuvirus borborenecus" "BK013751"
"Kohmavirus luticola" "BK013611"
"Samuneavirus asiocola" "BK013685"
"Tehuhdavirus pelovivens" "BK014092"
"Adahivirus asienecus" "BK014173"
"Aldhiuvirus defluviicola" "BK013368"
"Amubhivirus agrivicinum" "BK013471"
"Andhasavirus agrivivens" "BK013862"
"Andhasavirus borborocola" "BK013749"
"Andhaxevirus choradaptatum" "BK013773"
"Andhaxevirus chorenecus" "BK013918"
"Andhaxevirus chorocola" "BK013549"
"Anedhivirus chorovicinum" "BK013483"
"Apukhovirus arvihabitans" "BK014037"
"Ashucavirus caenicola" "BK014127"
"Ashucavirus caenihabitans" "BK013688"
"Ashucavirus caenivicinum" "BK013766"
"Bahscuvirus limivicinum" "BK014100"
"Bathrivirus terrenecus" "BK013548"
"Behevivirus limivivens" "BK014157"
"Behlfluvirus lutadaptatum" "BK014175"
"Bertavirus lutihabitans" "BK013720"
"Bihdovirus pelohabitans" "BK014047"
"Bisdanovirus hydrocola" "BK014220"
"Blafavirus pelovivens" "BK014182"
"Bohnovirus asienecus" "BK014186"
"Bohwovirus asiocola" "BK014153"
"Boloprevirus asiohabitans" "BK013583"
"Boloprevirus asiovicinum" "BK013696"
"Boloprevirus asiovivens" "BK013701"
"Boloprevirus borboradaptatum" "BK013602"
"Boschuvirus borborocola" "BK013624"
"Breudwovirus borborohabitans" "BK014134"
"Brudgevirus borborovicinum" "BK013667"
"Brudgevirus borborovivens" "BK013597"
"Brudgevirus caenadaptatum" "BK014062"
"Brudgevirus caenenecus" "BK014069"
"Brudgevirus caenicola" "BK013714"
"Brudgevirus defluviicola" "BK013377"
"Brudgevirus humadaptatum" "BK013440"
"Brudgevirus terrivivens" "BK013453"
"Buhdavirus caenihabitans" "BK013697"
"Cahdavirus humicola" "BK013936"
"Cahrpivirus caenivivens" "BK014111"
"Cahrpivirus humenecus" "BK014040"
"Caloevirus agradaptatum" "BK013437"
"Caloevirus humivivens" "BK013995"
"Cauhldivirus limadaptatum" "BK013636"
"Cauhldivirus limenecus" "BK013707"
"Cauhldivirus limicola" "BK013708"
"Cehakivirus limihabitans" "BK013580"
"Chaedoavirus insecticola" "BK013357"
"Chahsmivirus agrivicinum" "BK013547"
"Chahsmivirus agrivivens" "BK013442"
"Chahsmivirus choradaptatum" "BK013929"
"Chahsmivirus limivicinum" "BK013620"
"Chahsmivirus limivivens" "BK014106"
"Chahsmivirus lutadaptatum" "BK014174"
"Chihyovirus lutenecus" "BK013594"
"Chobevirus lutivicinum" "BK013722"
"Choctavirus fulminicola" "BK014221"
"Cintrevirus pelocola" "BK013650"
"Condavirus arvenecus" "BK014016"
"Condavirus arvicola" "BK013856"
"Condavirus arvihabitans" "BK013972"
"Condavirus arvivicinum" "BK013778"
"Condavirus arvivivens" "BK013859"
"Condavirus edaphadaptatum" "BK014036"
"Condavirus edaphenecus" "BK013823"
"Condavirus edaphocola" "BK013528"
"Condavirus edaphohabitans" "BK013433"
"Condavirus edaphovicinum" "BK013901"
"Creshivirus fonticola" "BK013365"
"Creshivirus pelohabitans" "BK014067"
"Cunavirus pretoriense" "NC_019920"
"Dahmuvirus insecticola" "BK013358"
"Darnbovirus asiadaptatum" "BK013618"
"Decadevirus asienecus" "BK013625"
"Decadevirus asiocola" "BK013643"
"Dehcevirus asiohabitans" "BK013635"
"Dehcevirus asiovicinum" "BK013743"
"Dehcevirus soladaptatum" "BK013554"
"Denfovirus borborenecus" "BK014155"
"Depandovirus solicola" "BK013921"
"Dihsdivirus solenecus" "BK013849"
"Dohlivirus borborovivens" "BK013622"
"Dosmizivirus solihabitans" "BK013802"
"Duhcivirus defluviicola" "BK013369"
"Emesvirus japonicum" "NC_001426"
"Emesvirus piscicola" "BK013361"
"Empivirus allolyticum" "NC_019707"
"Fagihyuvirus caenivicinum" "BK013752"
"Febihevirus ruminicola" "BK013363"
"Fiyodovirus limihabitans" "BK014050"
"Gahlinevirus luticola" "BK013640"
"Gahlovirus lutihabitans" "BK013692"
"Garovuvirus peladaptatum" "BK013702"
"Gehnevirus pelenecus" "BK014088"
"Glincaevirus pelovicinum" "BK013677"
"Glyciruvirus geovicinum" "BK013847"
"Glyciruvirus geovivens" "BK013877"
"Gmuhndevirus pelovivens" "BK014079"
"Gorodievirus telluradaptatum" "BK013405"
"Grendvuvirus asiocola" "BK014096"
"Gunawavirus borboradaptatum" "BK013739"
"Hagavirus psychrophilum" "NC_019922"
"Hahdsevirus borborenecus" "BK013616"
"Halcalevirus arvivivens" "BK013429"
"Hihdivirus caenenecus" "BK014056"
"Hihdivirus caenicola" "BK013585"
"Hukohnovirus limicola" "BK014205"
"Icumivirus limivivens" "BK013767"
"Ideskevirus lutadaptatum" "BK013721"
"Imeberivirus lutenecus" "BK013615"
"Imeberivirus luticola" "BK014207"
"Ineyimevirus lutihabitans" "BK013758"
"Ineyimevirus lutivicinum" "BK014215"
"Iruqauvirus pelocola" "BK013669"
"Ishugivirus pelohabitans" "BK014198"
"Jiesduavirus defluviicola" "BK013378"
"Johnovirus asienecus" "BK013700"
"Jupbevirus asiocola" "BK014095"
"Jupbevirus asiohabitans" "BK014060"
"Kahfsdivirus asiovicinum" "BK014046"
"Keghovirus borborovivens" "BK014054"
"Keghovirus caenadaptatum" "BK014195"
"Kehmevirus caenenecus" "BK013619"
"Kemicevirus caenicola" "BK013581"
"Kemicevirus caenihabitans" "BK013598"
"Kenamavirus limadaptatum" "BK013617"
"Kihryuvirus limihabitans" "BK014061"
"Kirnavirus lutenecus" "BK014116"
"Kiwsmaevirus defluviicola" "BK013376"
"Konkivirus lutihabitans" "BK014146"
"Kowinovirus pelenecus" "BK013646"
"Kuhshuvirus pelovicinum" "BK014063"
"Lohmavirus borborovivens" "BK014101"
"Loslovirus caenicola" "BK014158"
"Lulohlevirus edaphohabitans" "BK013783"
"Luthavirus edaphovicinum" "BK013819"
"Luthavirus edaphovivens" "BK013427"
"Luthavirus pedadaptatum" "BK013846"
"Mahqeavirus limicola" "BK013682"
"Mahqeavirus limihabitans" "BK013753"
"Mahraivirus limivicinum" "BK014105"
"Manohtivirus pedenecus" "BK013784"
"Manrohovirus lutadaptatum" "BK013699"
"Martavirus lutenecus" "BK013637"
"Meblowovirus defluviicola" "BK013374"
"Mehraxmevirus pedohabitans" "BK013957"
"Mekintivirus lutihabitans" "BK014049"
"Methovirus lutivicinum" "BK013676"
"Mihkrovirus pedovicinum" "BK013900"
"Mihkrovirus pedovivens" "BK013854"
"Mihkrovirus peladaptatum" "BK013674"
"Mihkrovirus pelenecus" "BK013706"
"Mihkrovirus pelocola" "BK014180"
"Mihkrovirus soladaptatum" "BK013434"
"Mihkrovirus solenecus" "BK013986"
"Mihkrovirus solicola" "BK013531"
"Mintuvirus asiadaptatum" "BK014177"
"Mintuvirus asienecus" "BK013745"
"Mintuvirus pelovivens" "BK014099"
"Monamovirus asiohabitans" "BK014164"
"Monamovirus asiovicinum" "BK014208"
"Mucrahivirus borboradaptatum" "BK013606"
"Mucrahivirus geocola" "BK013893"
"Mucrahivirus geoenecus" "BK013838"
"Mucrahivirus geohabitans" "BK013445"
"Mucrahivirus geovicinum" "BK013899"
"Mucrahivirus geovivens" "BK013521"
"Muyegivirus borborenecus" "BK014066"
"Nadsecevirus borborocola" "BK014070"
"Nahjiuvirus borborohabitans" "BK013655"
